----------------------
54.86.233.33	utm_source=api&utm_medium=api&utm_campaign=jws8nziqw	-
54.86.233.33	shownAt=http%3A%2F%2Fstatic.lndb.lv%2Flmc_video%2F00113%2Fmetadata.html&provider=Digitising	-
54.86.233.33	q=connecticut	http://www.google.com/search
54.86.233.33	utm_source=api&utm_medium=api&utm_campaign=jws8nziqw	-
54.86.233.33	page=3&q=agostino+nifo	http://www.europeana.eu/portal/fr/search
----------------------
54.88.46.179	size=BRIEF_DOC&type=TEXT	http://sneuperdokkum.blogspot.com/2014/06/mummies-en-aardappels-uit-friesland.html
----------------------
54.86.233.33	mlt=%2F2021657%2F73022	http://www.google.com/search
----------------------
54.88.46.179	q=what%3A%22etching%22+AND+provider_aggregation_edm_isShownBy%3A*	http://www.google.com/search
54.88.46.179	q=what%3A%22etching%22+AND+provider_aggregation_edm_isShownBy%3A*	http://www.google.com/search
54.88.46.179	page=3&q=agostino+nifo	http://www.europeana.eu/portal/fr/search
----------------------
54.86.233.33	q=%22%D0%BA%D0%B8%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D1%83%D1%81%D1%8C%22	https://www.europeana.eu
54.86.233.33	q=who%3A(Bairei%2C+K%C3%B4no)	http://www.google.com/search
54.86.233.33	q=Shopping+AND+RIGHTS%3A*creative*+AND+NOT+RIGHTS%3A*nc*+AND+NOT+RIGHTS%3A*nd*	http://search.creativecommons.org/
54.86.233.33	q=Shopping+AND+RIGHTS%3A*creative*+AND+NOT+RIGHTS%3A*nc*+AND+NOT+RIGHTS%3A*nd*	http://search.creativecommons.org/
54.86.233.33	query=Shopping%20AND%20RIGHTS:*creative*%20AND%20NOT%20RIGHTS:*nc*%20AND%20NOT%20RIGHTS:*nd*	http://search.creativecommons.org/
----------------------
54.88.46.179	q=Shopping+AND+RIGHTS%3A*creative*+AND+NOT+RIGHTS%3A*nc*+AND+NOT+RIGHTS%3A*nd*	http://search.creativecommons.org/
54.88.46.179	q=Shopping+AND+RIGHTS%3A*creative*+AND+NOT+RIGHTS%3A*nc*+AND+NOT+RIGHTS%3A*nd*	http://search.creativecommons.org/
----------------------
54.86.233.33	query=Shopping%20AND%20RIGHTS:*creative*%20AND%20NOT%20RIGHTS:*nc*%20AND%20NOT%20RIGHTS:*nd*	http://search.creativecommons.org/
54.86.233.33	shownAt=http%3A%2F%2Fdigitaltmuseum.no%2F011021986651&provider=Arts+Council+Norway&id=http%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2022608%2FMH_B_UB_02398&profile=params+rich+facets	http://www.europeana.eu/portal/en/search
----------------------
54.88.46.179	q=what%3A%28http%3A%2F%2Frs.tdwg.org%2Fdwc%2Fdwctype%2FSound+Recording%29	http://www.europeana.eu/portal/en/record/11622/TIERSTIMMENARCHIV_MFN_GERMANY_TSA_Zosterops_palpebrosa_V_1759_15_1.html
