192	2017-03-30 21:56:18	"Prelude,  Op. 28,  No. 7,  by Frédéric Chopin"	Graduation
191	2017-03-30 20:44:34	I want to find an image of a medieval manuscript where you can see a book	to illustrate a presentation I have to make for a professional course
190	2017-03-30 20:28:38	Location of books by Rosina Helena Furst	Include in a list of references
189	2017-03-30 17:29:51	Try to get some information about neolithic sulpture Pazardzhik Venus.	To write a work.
188	2017-03-30 17:29:28	Text from the 17th century	It deals with an interesting subject- non equal temperament
187	2017-03-30 16:43:06	I am looking for how wide spread the reach of Austrian scientists Clemens Pirquet was across Europe during his lifetime	To write an article
186	2017-03-30 16:24:23	violet flame gif	to write an article
185	2017-03-30 15:15:01	"Philatelist. Found a cover on eBay from WW2 addressed by à U S soldier on active service in Germany Jan 1945,  sent to the Falk family ,  Thames Plywood,  Barking,  Essex UK."	History of the cover.
184	2017-03-30 14:36:57	Just checking the page	There's always something interesting
183	2017-03-30 14:15:23	I want to find informations about caricatures	For my final paper at College
182	2017-03-30 13:25:32	"Graff,  Ludwig,  van (1899) Monographie der Turbellarien. II. Tricladida terricola Vol 1: XII+574 pp.; Vol.2: 58t"	determination of species
181	2017-03-30 12:18:31	Archive images about the regional industrial development of Navarra (North Spain)	For work
180	2017-03-30 12:09:45	"I'm looking for information about Miranda de Ebro,  a city in Spain."	General interest. It's my home town.
179	2017-03-30 11:30:45	Image of poet Ezra Pound	Personal purpose
178	2017-03-30 10:56:54	I was looking for a Rubens painting	Potential use in Christian worship
177	2017-03-30 09:59:44	I want to find out in which ways people are reusing images offered by Europeanan.	As background information because I have no precise idea about this reuse.
176	2017-03-30 09:55:56	I wanted to see whether early photographs of  Saami people made by Lotten von Düben has been upoloaded to the site. I forund them :-)	an academic article on historical photographs in social media
175	2017-03-30 09:49:41	Historical images of navigation	To an online course of the European Schoolnet Academy
174	2017-03-30 09:03:52	Information on an early British economic historian	to Tweet for women's history month
173	2017-03-30 08:02:42	Generally I look for old books concerning the Order of St John. Specifically I am looking for Caravita's Treatise on procurators and receivers of the Order.	PhD dissertation
172	2017-03-30 04:12:46	Don't know	Learning
171	2017-03-30 01:52:14	digital links to 18th century publications and autographs	to check and complete my own bibliographies
170	2017-03-29 23:55:30	nothing specific	no specific
169	2017-03-29 22:13:14	Maffei historia Indicarum unabbreviated text	To find an early recipe brought from India to Europe
168	2017-03-29 21:18:21	Looking for inspiration to write a play on the absurd .....	Thesis
167	2017-03-29 18:45:37	I’m trying to explore what’s available in Europeana about teachers and mothers.	To create a presentation for two celebrations in México
166	2017-03-29 18:42:54	"Strange search involving wives typing their husband's manuscripts.  (This seems like a joke,  but it isn't.)"	Helping another scholar
165	2017-03-29 15:57:04	Information on the artist Adolf Gogelein	General interest
164	2017-03-29 15:53:39	Images of footwear	I am a footwear historian
163	2017-03-29 15:39:48	exploring by colour	designing my learning scenario 4 Europeana
162	2017-03-29 15:24:06	Ancient books and manuscripts	Academic research
161	2017-03-29 15:15:30	I want to find the first version of Bernardino de Mendoza book Teorica y Práctica de Guerra	To my PHD research
160	2017-03-29 15:11:47	Italian poetry	To investigation female poetry
159	2017-03-29 14:04:00	I am looking for artworks of Leonardo	general interest
158	2017-03-29 13:29:54	I am looking for Gottlieb von Jagow.	To write a book.
157	2017-03-29 13:11:03	I want to find a mythological engravings of XVII century	For a research and investigation
156	2017-03-29 13:00:59	"Information about Rionore of Kilkenny Ltd, "	T establish the provenance of a piece of silver
155	2017-03-29 12:27:30	I am looking for books in icelandic language.	Simply because it interests me.
154	2017-03-29 11:07:29	Open Educational Resources	Training material for managers of SMEs
153	2017-03-29 10:19:05	Information on the Italian scientist Laura Bassi	To write an article
152	2017-03-29 09:48:29	"I am looking for a PDF of the first edition of Pietro Metastasio's ""L'Olimpiade"" (Vienna,  1733)"	To read and study it
151	2017-03-29 09:47:14	I am looking for details of a photo kept in my institution's archive	To help a researcher
150	2017-03-29 09:42:29	Just browsing art.	relaxation
149	2017-03-29 09:35:50	Novela	Leer
148	2017-03-29 09:23:24	"I am trying to find fashion images especially Rei Kawakubo in Europe fashion scene,  in order to make my story rich in digital websites."	because i am a journalist
147	2017-03-29 09:11:19	General search for poetry of Celtic nations	Fits in with my research project
146	2017-03-29 09:10:38	"I am looking for a numeric version of the Dictionnaire universel de médecine by James,  trans. Diderot"	To prepare a class.
145	2017-03-29 08:44:34	"I am looking for an image that would show people collaborating,  helping each other and caring for each other"	"for a new website and social media channels related to collaboration,  sharing and caring"
144	2017-03-29 08:19:36	Searching S. Barbara pictures made by Albrecht Dürer	To write a book
143	2017-03-29 08:16:27	I want to find the picture of Karol Rogawski and Józef Łepkowski	to create an exhibition in Archaeological Museum in Cracow
142	2017-03-29 08:11:37	I'm looking for the datasets of the single cultural institutions I'm supporting to get into Europeana.	It's my job
141	2017-03-29 07:59:54	I want to find out more about the postcards by Rauh & Pohle.	Because I work in an archive and need to set a timeline for some documents.
140	2017-03-29 07:44:34	"I want to find some information about a painting of Willem van de Velde,  ""Het kanonschot"""	I would like to write an article for the online encyclopedia Wikipédia
139	2017-03-29 05:08:33	Looking to what dolls house miniatures can be found	Interested in general
138	2017-03-29 03:15:01	looking for decorative art images.	to inspire my artwork
137	2017-03-29 02:26:07	I am looking for inspiration	I am preparing a graphic work
136	2017-03-28 22:46:28	Looking for costumes pictures of Cruz Cano y Olmedilla not in BNE	"To help a friends. Briefly,  in 1767,  for various reasons,  Charles III,  created several towns on the route from Madrid to Seville. He appealed to Central European citizens. Now it's 250 years. In some of these towns,  the arrival of the colonists is to be recreated and they need to know how he dressed at that time."
135	2017-03-28 21:29:46	I want to find information about the privatization of the school system in Sweden	to write a term paper
134	2017-03-28 20:59:24	I'm looking for illustrations of clouds.	I'm currently working on a personal creative project (making a zine)
133	2017-03-28 20:41:12	I want to find out who Sittinghausen was and which role he played at the Munich court around 1570 (mentioned in Baader 1943 - Der bayer. Renaissancehof...)	"Sittinghausen ordered guinea pigs from Rome in 1570. This seems to be the first mentioning of guinea pigs in Germany. I'm trying to find out how the guinea pigs found their way into Europe in the 16th c. Special interest in THE GUINEA PIG IN ART. aim:to write a longer article..."
132	2017-03-28 20:19:54	I am lokking for materials on enlightenment societies	To write a thesis
131	2017-03-28 20:03:20	Just wandering to see how it works	To write some line about europeana in a course dedicated to the cultural action of the EU
130	2017-03-28 19:58:27	"to read P.F. A. del Castillo,  El Devoto peregrino y viage de Tierra santa, "	To write an article
129	2017-03-28 19:02:15	works from a specific museum	to use images for a presentation
128	2017-03-28 18:19:43	Foto di Milano	Sono un appassionato di storia milanese
127	2017-03-28 15:36:21	"A second edition of Os Lusíadas,  by Luís de Camões."	To compare it with the same edition we have at our library.
126	2017-03-28 14:37:14	I was looking for some information about Italo Calvino	For a work
125	2017-03-28 14:30:14	Looking for any documents or media relating to the artist Jan Verkade.	General interest/ private study.
124	2017-03-28 13:47:19	I want to find books and studies about ancient greek grammarians	For my research on ancient greek literature in order to publish new contributions
123	2017-03-28 13:02:57	"download Exercices de mécanique,  suivis d'applications de la statique à la géométrie"	it is a question of culture and living in the same era as 19th century
122	2017-03-28 13:01:27	I am looking to locate a rare book	Research project
121	2017-03-28 13:01:26	"Just looking for information about source (any),  trying to see what information are you providing with the source"	Educational purpose
120	2017-03-28 11:55:03	"Slavonic manuscript Karpinsko Gospel or the book Десподова,  Карпинско евангелие (Македонски средновековни ракописи,  4; Прилеп– Скопjе,  1995)"	To write an article
119	2017-03-28 10:56:45	I am looking for photographs of the works of Florentine artists Bicci di Lorenzo and the Master of Signa	To write an article
118	2017-03-28 10:32:16	"I'm looking for a photo of a litle non-profesional theatre group from Talavera de la Reina (Toledo,  Spain)."	I will use it for professional purposes.
117	2017-03-28 09:14:56	XIX century texts & ancient and medieval manuscripts	General interest
116	2017-03-28 08:26:01	"I'm looking for traces of Russian émigrés from 1917 to the 1930s : art,  photographs,  or maps."	To help plan an exhibition for an International summit.
115	2017-03-28 07:30:22	I am looking for animated films (pioneers)	"General research,  looking for Europeana updates"
114	2017-03-28 06:10:59	I am trying to find pictures about different baskets.	They are for a lecture
113	2017-03-27 19:05:17	I wanted to find a list of european artworks from the canon listed by country/city and saw europeana 280	to see which artworks my family and I could admire during our travels this summer.
112	2017-03-27 18:24:44	I am looking for a nice painting from 17th to 20th century.	To impress the woman I like.
111	2017-03-27 17:35:36	I want to find an image of ancient coins	General interest
110	2017-03-27 15:42:34	tritium	work
109	2017-03-27 15:19:10	Broadly looking for recordings of traditional European music	Exploring my European heritage
108	2017-03-27 15:00:00	"About ""posadas secretas españolas"" in the eighteen century."	I'm preparing an investigation about it
107	2017-03-27 13:28:32	I am trying to find images of ainu people.	To answer a question for my class.
106	2017-03-27 11:52:26	Women artists.	"Women artists EXIST and their path was often so troubled,  I feel like I should pay tribute to their work at least by knowing it."
105	2017-03-27 11:46:35	looking for cores de vries in Nederland Ostindie	biographical entry
104	2017-03-27 10:52:40	Original penicillin papers	An activity for a student Medical Society
103	2017-03-27 10:42:55	"Presently I am looking for Impatiens species images"	"To prepare a species page"
102	2017-03-27 10:22:46	I'm trying to find old dictionaries.	I study Information Management and Bibliology and we got a task to create our own electronic library with links to various resources available around the web.
101	2017-03-27 09:52:47	CC music to use on my videos.	To avoid missuse of artistic materials.
100	2017-03-27 09:13:52	Dental tools.	Help cataloguing above mentioned artefacts.
99	2017-03-27 09:00:33	I would like to find all content provided by the SASE archive	General interest
98	2017-03-27 08:42:21	I want to find information about the Spanish poet Miguel Hernández.	"Because tomorrow there is an important date,  as it will be the 75th anniversary of his death,  in prison,  during the Spanish Civil war."
97	2017-03-27 08:29:56	edwin smith papyrus	school project
96	2017-03-27 07:52:30	I'm looking for the digitized version of Novus Linguae Et Eruditionis Romanae Thesaurus by Johann Matthias Gesner	To create a link to the digital object from my library catalog
95	2017-03-27 07:23:20	I wanted to find information about a product I developed	Curiosity
94	2017-03-27 07:15:45	I look around	for curiosity
93	2017-03-26 22:28:00	I am looking for genre terms used by Europeana Sounds for browsing different types of vernacular music.	For a presentation I am doing about music cataloging.
92	2017-03-26 21:22:31	"I am trying to find ""Traitez touchant les droits du Roy treschrestien sur plusieurs estats et seigneuries possedées par divers princes voisins"" by Pierre Dupuy"	To write an article
91	2017-03-26 20:38:01	i am looking for information about muslims in andalousia	to know more about islam in the past
90	2017-03-26 19:56:23	"Some more information from a painting,  the geolocation for instant."	I am working on an app that are going use a lot of information from paintings motif
89	2017-03-26 18:04:41	I am looking for photographs taken by Hungarian travellers in China before 1940	"To study old photographs in Ferenc Hopp Museum of Asiatic Arts,  Budapest"
88	2017-03-26 17:44:58	I want any info about the Napoleonic war in Gerona	to learn about it
87	2017-03-26 17:39:17	I'm an Opera lover	"My hobby is try to give a face and a voice to those singers once famous and almost totally forgotten today via the web searches old books records etc. In particular I like the coloratura sopranos who have recorded acoustic discs and cylinders (last '800- until the mid-1920s)"
86	2017-03-26 17:05:56	"I'm looking for information,  photographs,  videos and so on about Eurovision Song Contest"	I like Eurovision and like reading about its history
85	2017-03-26 16:57:30	I'm looking for images of Anita Ekberg	"Personal interest,  I am a fan of this actress"
84	2017-03-26 16:28:16	Western art about refugees	To find visual information for my thesis
83	2017-03-26 16:12:09	To find if a manuscript has been scanned.	It's part of my dissertation research.
